"","Sample","ARO","Pathogen","Reads","MAPQ","Drug","Mechanism","AMR_Family","Gene_Length","FPKM"
"1","LKMG003-005.allele_mapping_data.txt","smeS","Stenotrophomonas maltophilia",2,44,"aminoglycoside antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1404,5.74933576774008
"2","LKMG003-005.allele_mapping_data.txt","OXA-361","Acinetobacter lwoffii",5,13.75,"carbapenem; penam","antibiotic inactivation","OXA beta-lactamase; OXA-134-like beta-lactamase",831,24.284198008144
"3","LKMG003-005.allele_mapping_data.txt","adeJ","Acinetobacter baumannii",2,41,"macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3177,2.54078294551686
"4","LKMG003-005.allele_mapping_data.txt","CRP","Escherichia coli",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",633,6.37604061446056
"5","LKMG003-005.allele_mapping_data.txt","evgS","Escherichia coli",1,22,"macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump",3594,1.12299212825641
"6","LKMG003-005.allele_mapping_data.txt","APH(3')-IIIa","Campylobacter coli",6,26.4,"aminoglycoside antibiotic","antibiotic inactivation","APH(3')",795,30.4606317656871
"7","LKMG003-005.allele_mapping_data.txt","patA","Streptococcus pneumoniae",1,11,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,2.38114083124102
"8","LKMG003-005.allele_mapping_data.txt","hmrM","Haemophilus influenzae",53,25.27,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,153.340348798952
"9","LKMG003-005.allele_mapping_data.txt","rpoB2","Nocardia farcinica",2,11,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3489,2.31357621608113
"10","LKMG003-005.allele_mapping_data.txt","ICR-Mc","Moraxella catarrhalis",76,26.7,"peptide antibiotic","antibiotic target alteration","intrinsic colistin resistant phosphoethanolamine transferase",1737,176.590997052659
"11","LKMG003-005.allele_mapping_data.txt","LpsA","Haemophilus influenzae",5,22,"peptide antibiotic","reduced permeability to antibiotic","Intrinsic peptide antibiotic resistant Lps",771,26.1740188648089
"12","LKMG003-005.allele_mapping_data.txt","Bifidobacterium bifidum ileS conferring resistance to mupirocin","Bifidobacterium bifidum",1,11,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",3324,1.2142099004072
"13","LKMG003-013.allele_mapping_data.txt","ErmX","Plasmid pNG2",95,27.15,"macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic","antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase",855,448.448189883726
"14","LKMG003-013.allele_mapping_data.txt","patB","Streptococcus pneumoniae",3,21.67,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,6.85234925119446
"15","LKMG003-013.allele_mapping_data.txt","rpoB2","Nocardia farcinica",21,13.82,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3489,24.2925502688519
"16","LKMG003-013.allele_mapping_data.txt","ICR-Mc","Moraxella catarrhalis",139,28.75,"peptide antibiotic","antibiotic target alteration","intrinsic colistin resistant phosphoethanolamine transferase",1737,322.975639346311
"17","LKMG003-013.allele_mapping_data.txt","RanB","Riemerella anatipestifer",2,28,"aminoglycoside antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",762,10.593264327962
"18","LKMG003-013.allele_mapping_data.txt","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Bifidobacterium adolescentis",3,11,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3561,3.40019689044106
"19","LKMG003-017.allele_mapping_data.txt","ErmX","Plasmid pNG2",7,20.86,"macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic","antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase",855,33.0435508335377
"20","LKMG003-017.allele_mapping_data.txt","mel","Streptococcus pyogenes",7,20.67,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,23.1955960284686
"21","LKMG003-017.allele_mapping_data.txt","AcrF","Escherichia coli",2,40,"fluoroquinolone antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3105,2.59969965149986
"22","LKMG003-017.allele_mapping_data.txt","macA","Neisseria gonorrhoeae",1,20.5,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1179,3.42326862506661
"23","LKMG003-017.allele_mapping_data.txt","patA","Streptococcus pneumoniae",9,24.12,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,21.4302674811692
"24","LKMG003-017.allele_mapping_data.txt","patB","Streptococcus pneumoniae",3,21.67,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,6.85234925119446
"25","LKMG003-017.allele_mapping_data.txt","pmrA","Streptococcus pneumoniae",2,42,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1200,6.7267228482559
"26","LKMG003-017.allele_mapping_data.txt","RlmA(II)","Streptococcus pneumoniae",7,19.14,"macrolide antibiotic; lincosamide antibiotic","antibiotic target alteration","non-erm 23S ribosomal RNA methyltransferase (G748)",849,33.2770741609832
"27","LKMG003-017.allele_mapping_data.txt","farB","Neisseria meningitidis",1,22,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1527,2.64311310344043
"28","LKMG003-017.allele_mapping_data.txt","rpoB2","Nocardia farcinica",7,12.83,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3489,8.09751675628397
"29","LKMG003-017.allele_mapping_data.txt","ICR-Mc","Moraxella catarrhalis",3,33,"peptide antibiotic","antibiotic target alteration","intrinsic colistin resistant phosphoethanolamine transferase",1737,6.97069725207865
"30","LKMG003-017.allele_mapping_data.txt","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Bifidobacterium adolescentis",1,11,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3561,1.13339896348035
"31","LKMG003-021.allele_mapping_data.txt","lnuA","Staphylococcus haemolyticus",3,22,"lincosamide antibiotic","antibiotic inactivation","lincosamide nucleotidyltransferase (LNU)",486,24.9137883268737
"32","LKMG003-021.allele_mapping_data.txt","mdtF","Escherichia coli",23,21.52,"macrolide antibiotic; fluoroquinolone antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3114,29.8101397899587
"33","LKMG003-021.allele_mapping_data.txt","mdtA","Escherichia coli",1,22,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1248,3.2340013693538
"34","LKMG003-021.allele_mapping_data.txt","amrB","Burkholderia pseudomallei",3,13.5,"macrolide antibiotic; aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3132,3.86593267141143
"35","LKMG003-021.allele_mapping_data.txt","macB","Neisseria gonorrhoeae",6,14.67,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1935,12.5148332060575
"36","LKMG003-021.allele_mapping_data.txt","emrY","Escherichia coli",2,21,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1539,5.24500806881551
"37","LKMG003-021.allele_mapping_data.txt","smeF","Stenotrophomonas maltophilia",3,14,"macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1401,8.64247046885126
"38","LKMG003-021.allele_mapping_data.txt","AcrS","Escherichia coli",3,22,"fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",663,18.2625959681156
"39","LKMG003-021.allele_mapping_data.txt","PC1 beta-lactamase (blaZ)","Staphylococcus aureus",2,22,"penam","antibiotic inactivation","BlaZ beta-lactamase",846,9.54145084858992
"40","LKMG003-021.allele_mapping_data.txt","mdtB","Escherichia coli",14,23.69,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3123,18.0930105428593
"41","LKMG003-021.allele_mapping_data.txt","CRP","Escherichia coli",1,22,"macrolide antibiotic; fluoroquinolone antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",633,6.37604061446056
"42","LKMG003-021.allele_mapping_data.txt","smeE","Stenotrophomonas maltophilia",5,13.2,"macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3123,6.4617894795926
"43","LKMG003-021.allele_mapping_data.txt","carA","Streptomyces thermotolerans",1,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1656,2.43721842328112
"44","LKMG003-021.allele_mapping_data.txt","ErmX","Plasmid pNG2",12,24,"macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic","antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase",855,56.6460871432075
"45","LKMG003-021.allele_mapping_data.txt","evgA","Escherichia coli",3,16.67,"macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump",615,19.6879693119685
"46","LKMG003-021.allele_mapping_data.txt","ANT(6)-Ib","Campylobacter fetus",2,11,"aminoglycoside antibiotic","antibiotic inactivation","ANT(6)",858,9.40800398357468
"47","LKMG003-021.allele_mapping_data.txt","mel","Streptococcus pyogenes",10,15.11,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,33.1365657549551
"48","LKMG003-021.allele_mapping_data.txt","H-NS","Escherichia coli",2,22,"macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump",414,19.497747386249
"49","LKMG003-021.allele_mapping_data.txt","mdtC","Escherichia coli",7,22,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3078,9.17876412042715
"50","LKMG003-021.allele_mapping_data.txt","evgS","Escherichia coli",4,22,"macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump",3594,4.49196851302564
